Journal title,Year,Source ID,Publications
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1995,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1996,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1997,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1998,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1999,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2000,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2001,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2002,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2003,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2004,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2005,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2006,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2007,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2008,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2009,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2010,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2011,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2012,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2013,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2014,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2015,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2016,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2017,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2018,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2019,21100941911,77
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2020,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",2021,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1942,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1943,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1944,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1945,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1946,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1947,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1948,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1949,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1950,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1951,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1952,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1953,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1954,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1955,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1956,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1957,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1958,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1959,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1960,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1961,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1962,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1963,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1964,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1965,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1966,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1967,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1968,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1969,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1970,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1971,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1972,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1973,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1974,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1975,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1976,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1977,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1978,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1979,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1980,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1981,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1982,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1983,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1984,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1985,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1986,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1987,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1988,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1989,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1990,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1991,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1992,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1993,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1994,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1995,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1996,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1997,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1998,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",1999,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2000,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2001,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2002,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2003,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2004,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2005,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2006,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2007,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2008,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2009,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2010,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2011,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2012,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2013,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2014,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2015,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2016,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2017,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2018,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2019,,0
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2020,21101027201,207
"29th ieee international conference on robot and human interactive communication, ro-man 2020",2021,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1942,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1943,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1944,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1945,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1946,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1947,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1948,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1949,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1950,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1951,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1952,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1953,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1954,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1955,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1956,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1957,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1958,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1959,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1960,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1961,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1962,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1963,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1964,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1965,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1966,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1967,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1968,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1969,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1970,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1971,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1972,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1973,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1974,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1975,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1976,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1977,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1978,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1979,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1980,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1981,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1982,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1983,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1984,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1985,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1986,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1987,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1988,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1989,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1990,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1991,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1992,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1993,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1994,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1995,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1996,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1997,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1998,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",1999,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2000,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2001,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2002,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2003,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2004,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2005,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2006,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2007,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2008,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2009,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2010,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2011,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2012,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2013,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2014,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2015,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2016,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2017,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2018,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2019,21100901659,79
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2020,,0
"9th ieee international conference on cognitive infocommunications, coginfocom 2018 - proceedings",2021,,0
acta colombiana de psicologia,1942,,0
acta colombiana de psicologia,1943,,0
acta colombiana de psicologia,1944,,0
acta colombiana de psicologia,1945,,0
acta colombiana de psicologia,1946,,0
acta colombiana de psicologia,1947,,0
acta colombiana de psicologia,1948,,0
acta colombiana de psicologia,1949,,0
acta colombiana de psicologia,1950,,0
acta colombiana de psicologia,1951,,0
acta colombiana de psicologia,1952,,0
acta colombiana de psicologia,1953,,0
acta colombiana de psicologia,1954,,0
acta colombiana de psicologia,1955,,0
acta colombiana de psicologia,1956,,0
acta colombiana de psicologia,1957,,0
acta colombiana de psicologia,1958,,0
acta colombiana de psicologia,1959,,0
acta colombiana de psicologia,1960,,0
acta colombiana de psicologia,1961,,0
acta colombiana de psicologia,1962,,0
acta colombiana de psicologia,1963,,0
acta colombiana de psicologia,1964,,0
acta colombiana de psicologia,1965,,0
acta colombiana de psicologia,1966,,0
acta colombiana de psicologia,1967,,0
acta colombiana de psicologia,1968,,0
acta colombiana de psicologia,1969,,0
acta colombiana de psicologia,1970,,0
acta colombiana de psicologia,1971,,0
acta colombiana de psicologia,1972,,0
acta colombiana de psicologia,1973,,0
acta colombiana de psicologia,1974,,0
acta colombiana de psicologia,1975,,0
acta colombiana de psicologia,1976,,0
acta colombiana de psicologia,1977,,0
acta colombiana de psicologia,1978,,0
acta colombiana de psicologia,1979,,0
acta colombiana de psicologia,1980,,0
acta colombiana de psicologia,1981,,0
acta colombiana de psicologia,1982,,0
acta colombiana de psicologia,1983,,0
acta colombiana de psicologia,1984,,0
acta colombiana de psicologia,1985,,0
acta colombiana de psicologia,1986,,0
acta colombiana de psicologia,1987,,0
acta colombiana de psicologia,1988,,0
acta colombiana de psicologia,1989,,0
acta colombiana de psicologia,1990,,0
acta colombiana de psicologia,1991,,0
acta colombiana de psicologia,1992,,0
acta colombiana de psicologia,1993,,0
acta colombiana de psicologia,1994,,0
acta colombiana de psicologia,1995,,0
acta colombiana de psicologia,1996,,0
acta colombiana de psicologia,1997,,0
acta colombiana de psicologia,1998,,0
acta colombiana de psicologia,1999,,0
acta colombiana de psicologia,2000,,0
acta colombiana de psicologia,2001,,0
acta colombiana de psicologia,2002,,0
acta colombiana de psicologia,2003,,0
acta colombiana de psicologia,2004,,0
acta colombiana de psicologia,2005,,0
acta colombiana de psicologia,2006,,0
acta colombiana de psicologia,2007,10600153356,26
acta colombiana de psicologia,2008,10600153356,16
acta colombiana de psicologia,2009,10600153356,27
acta colombiana de psicologia,2010,10600153356,29
acta colombiana de psicologia,2011,10600153356,27
acta colombiana de psicologia,2012,10600153356,13
acta colombiana de psicologia,2013,10600153356,41
acta colombiana de psicologia,2014,10600153356,29
acta colombiana de psicologia,2015,10600153356,33
acta colombiana de psicologia,2016,10600153356,28
acta colombiana de psicologia,2017,10600153356,28
acta colombiana de psicologia,2018,10600153356,25
acta colombiana de psicologia,2019,10600153356,27
acta colombiana de psicologia,2020,10600153356,33
acta colombiana de psicologia,2021,10600153356,29
acta neuropsychologica,1942,,0
acta neuropsychologica,1943,,0
acta neuropsychologica,1944,,0
acta neuropsychologica,1945,,0
acta neuropsychologica,1946,,0
acta neuropsychologica,1947,,0
acta neuropsychologica,1948,,0
acta neuropsychologica,1949,,0
acta neuropsychologica,1950,,0
acta neuropsychologica,1951,,0
acta neuropsychologica,1952,,0
acta neuropsychologica,1953,,0
